city,rank,lat,lon,description
El Paso,50,31.8479,-106.4309,"Ranks highly in: Building_Loss_Rate: 97%, Household_Income: 97%, Agricultural_Loss_Rate: 96%"
Warren,51,42.4934,-83.027,"Ranks highly in: Asthma: 98%, PM25: 97%, Building_Loss_Rate: 97%"
Cape Coral,52,26.6446,-81.9956,"Ranks highly in: Building_Loss_Rate: 98%, Agricultural_Loss_Rate: 98%, Household_Income: 96%"
Muncie,53,40.1989,-85.395,"Ranks highly in: PM25: 97%, Asthma: 96%, Building_Loss_Rate: 96%"
Charlotte,54,35.208,-80.8304,"Ranks highly in: PM25: 97%, Diesel_Particulate: 96%, Household_Income: 95%"
Bowie,55,38.9569,-76.7409,"Ranks highly in: Diesel_Particulate: 97%, Household_Income: 96%, Traffic_Proximity: 96%"
Nashville,56,36.1715,-86.7843,"Ranks highly in: Building_Loss_Rate: 97%, Agricultural_Loss_Rate: 95%, Asthma: 95%"
Austin,57,30.3004,-97.7522,"Ranks highly in: Building_Loss_Rate: 97%, PM25: 97%, Household_Income: 95%"
Fresno,58,36.7831,-119.7941,"Ranks highly in: PM25: 97%, Agricultural_Loss_Rate: 97%, Asthma: 95%"
Concord,59,37.9722,-122.0016,"Ranks highly in: Agricultural_Loss_Rate: 99%, PM25: 98%, Traffic_Proximity: 97%"
DeKalb,60,41.9313,-88.7482,"Ranks highly in: PM25: 96%, Household_Income: 95%, Diesel_Particulate: 95%"
Baltimore,61,39.3051,-76.6144,"Ranks highly in: Diesel_Particulate: 96%, Asthma: 95%, Traffic_Proximity: 95%"
St. Petersburg,62,27.7931,-82.6652,"Ranks highly in: Traffic_Proximity: 96%, Diesel_Particulate: 96%, Household_Income: 96%"
Levittown,63,40.7241,-73.5125,"Ranks highly in: Diesel_Particulate: 98%, Traffic_Proximity: 98%, Asthma: 97%"
Salt Lake City,64,40.7777,-111.9306,"Ranks highly in: Asthma: 97%, Diesel_Particulate: 96%, Traffic_Proximity: 96%"
Naperville,65,41.7483,-88.1657,"Ranks highly in: PM25: 97%, Diesel_Particulate: 97%, Building_Loss_Rate: 95%"
Lexington,66,38.0423,-84.4587,"Ranks highly in: Agricultural_Loss_Rate: 98%, Building_Loss_Rate: 97%, PM25: 97%"
Centreville,67,38.8391,-77.4388,"Ranks highly in: Diesel_Particulate: 97%, Traffic_Proximity: 96%, PM25: 95%"
Overland Park,68,38.887,-94.687,"Ranks highly in: Building_Loss_Rate: 97%, Agricultural_Loss_Rate: 95%, Diesel_Particulate: 94%"
Tulsa,69,36.1284,-95.9042,"Ranks highly in: PM25: 96%, Building_Loss_Rate: 96%, Asthma: 95%"
Hartford,70,41.7661,-72.6834,"Ranks highly in: Agricultural_Loss_Rate: 98%, Asthma: 97%, Household_Income: 95%"
Aurora,71,39.7087,-104.7273,"Ranks highly in: Agricultural_Loss_Rate: 98%, Building_Loss_Rate: 97%, Household_Income: 96%"
Lancaster,72,40.0421,-76.3012,"Ranks highly in: Agricultural_Loss_Rate: 96%, PM25: 95%, Building_Loss_Rate: 95%"
Tucson,73,32.1545,-110.8782,"Ranks highly in: Asthma: 96%, Household_Income: 95%, Diesel_Particulate: 95%"
Fayetteville,74,35.0846,-78.9776,"Ranks highly in: Agricultural_Loss_Rate: 99%, Asthma: 99%, Building_Loss_Rate: 99%"
Grand Rapids,75,42.962,-85.6562,"Ranks highly in: Asthma: 97%, Agricultural_Loss_Rate: 95%, Household_Income: 95%"
San Francisco,76,37.7562,-122.443,"Ranks highly in: PM25: 97%, Traffic_Proximity: 97%, Diesel_Particulate: 96%"
Richmond,77,37.5295,-77.4756,"Ranks highly in: Asthma: 95%, Diesel_Particulate: 94%, PM25: 94%"
Raleigh,78,35.8325,-78.6435,"Ranks highly in: Agricultural_Loss_Rate: 98%, PM25: 95%, Building_Loss_Rate: 94%"
York,79,39.9651,-76.7315,"Ranks highly in: Agricultural_Loss_Rate: 98%, Asthma: 96%, Household_Income: 94%"
Yonkers,80,40.9466,-73.8674,"Ranks highly in: Diesel_Particulate: 96%, Traffic_Proximity: 96%, Asthma: 94%"
Bridgeport,81,41.1918,-73.1953,"Ranks highly in: Agricultural_Loss_Rate: 96%, Traffic_Proximity: 95%, Household_Income: 95%"
Portland,82,45.5372,-122.65,"Ranks highly in: PM25: 96%, Asthma: 96%, Diesel_Particulate: 95%"
Middletown,83,39.5032,-84.366,"Ranks highly in: Agricultural_Loss_Rate: 95%, Asthma: 95%, PM25: 95%"
Knoxville,84,35.9692,-83.9496,"Ranks highly in: Agricultural_Loss_Rate: 97%, Building_Loss_Rate: 95%, Household_Income: 94%"
New Haven,85,41.3112,-72.9246,"Ranks highly in: Agricultural_Loss_Rate: 97%, Asthma: 97%, Household_Income: 94%"
Oxnard,86,34.1963,-119.1815,"Ranks highly in: PM25: 96%, Traffic_Proximity: 95%, Building_Loss_Rate: 94%"
Tacoma,87,47.2431,-122.4531,"Ranks highly in: Asthma: 96%, Household_Income: 96%, Diesel_Particulate: 95%"
Denver,88,39.7621,-104.8759,"Ranks highly in: Building_Loss_Rate: 96%, Diesel_Particulate: 95%, Traffic_Proximity: 94%"
Akron,89,41.0798,-81.5219,"Ranks highly in: Asthma: 94%, PM25: 94%, Building_Loss_Rate: 94%"
Jacksonville,90,30.3322,-81.6749,"Ranks highly in: Household_Income: 96%, Diesel_Particulate: 94%, Asthma: 94%"
Joliet,91,41.5189,-88.1499,"Ranks highly in: PM25: 95%, Agricultural_Loss_Rate: 94%, Diesel_Particulate: 94%"
Centennial,92,39.5926,-104.8674,"Ranks highly in: Building_Loss_Rate: 96%, Diesel_Particulate: 94%, Traffic_Proximity: 93%"
Plano,93,33.0502,-96.7487,"Ranks highly in: Building_Loss_Rate: 96%, PM25: 95%, Diesel_Particulate: 94%"
Stockton,94,37.9765,-121.3109,"Ranks highly in: PM25: 96%, Asthma: 94%, Traffic_Proximity: 93%"
Newark,95,40.7245,-74.1725,"Ranks highly in: Household_Income: 98%, Traffic_Proximity: 98%, Diesel_Particulate: 98%"
Levittown,96,40.1537,-74.853,"Ranks highly in: Diesel_Particulate: 98%, Traffic_Proximity: 98%, Asthma: 97%"
